id,active,acquired,cost,type,weight,newtag,tag,tagdam,breed,description,purchased,sireId,damId,dateUpdated
1,Yes,06/06/11 00:00:00,0,Cow,0,O53H,Y60,,Highland cross,,0,,,
2,Yes,06/06/11 00:00:00,0,Cow,0,P43,Y64,,Dun,,0,,,
3,Yes,06/06/11 00:00:00,0,Cow,0,P45,Y72,,Dun,,0,,,
4,Yes,06/01/11 00:00:00,0,Cow,0,P83,W166,W005,DUN,,0,,,
5,Yes,05/26/11 00:00:00,0,Cow,0,P42,W162,?,DUN COW,,0,,,
6,Yes,05/04/11 00:00:00,0,Cow,0,P58,W152,Y207,DUN,,0,,,
7,Yes,10/16/10 00:00:00,0,Cow,1200,P40,W070,W034,DUN COW,,0,,,
8,Yes,08/02/10 00:00:00,0,Cow,1200,P56,W061,W013,Black,,0,,,
9,Yes,07/02/10 00:00:00,0,Cow,1200,P44,W053,R15,Red,,0,,,
10,Yes,05/23/10 00:00:00,0,Cow,1200,B9,7X Yellow,,Murray Grey-DOLLY,,0,,,
11,Yes,05/13/10 00:00:00,0,Cow,1200,P25,Y199,,Red Angus from Moll,,0,,,
12,Yes,05/13/10 00:00:00,0,Cow,1200,P32,Y207,,Red Angus from Moll,,0,,,
13,No,05/13/10 00:00:00,0,Cow,0,,Y206,,Red Angus from Moll,,0,,,
14,Yes,05/08/10 00:00:00,0,Cow,1200,B3,5X White,,Murray Grey-BEATRICE,,0,,,
15,Yes,04/26/10 00:00:00,0,Cow,1200,B14,10X,,Murray Grey -  HONEY,,0,,,
16,Yes,04/17/10 00:00:00,0,Cow,1200,P26,W128,,"Red ",,0,,,
17,Yes,04/17/10 00:00:00,0,Cow,1200,P68,W127,,"Red ",,0,,,
18,No,04/17/10 00:00:00,0,Cow,0,,W125,,"Red ",,0,,,
19,Yes,04/08/10 00:00:00,0,Cow,1200,B4,8X White,,Murray Grey-ISABELLA,,0,,,
20,Yes,03/29/10 00:00:00,0,Cow,1200,B1,7X White,,Murray Grey-ELLIE,,0,,,
21,Yes,03/22/10 00:00:00,0,Cow,1200,B10,6X White,,Murray Grey-JUNE,,0,,,
22,Yes,03/01/10 00:00:00,0,Cow,1200,P11,W143,,Red,,0,,,
23,Yes,03/01/10 00:00:00,0,Cow,1200,P23,W134,G437,Black,,0,,,
24,Yes,03/01/10 00:00:00,0,Cow,1200,P30,W148,W031,Black,,0,,,
25,Yes,03/01/10 00:00:00,0,Cow,1200,P65,W131,G427,Black,,0,,,
26,Yes,03/01/10 00:00:00,0,Cow,1200,P66,W149,G425,Champaigne,,0,,,
27,No,03/01/10 00:00:00,0,Cow,0,,W135,W029,Black,,0,,,
28,No,03/01/10 00:00:00,0,Cow,0,,W145,W012,Black,,0,,,
29,Yes,02/23/10 00:00:00,0,Cow,1200,B12,4X White,,Murray Grey-ABIGAIL,,0,,,
30,Yes,02/06/10 00:00:00,0,Cow,1200,B7,2X Yellow,,Murray Grey-LOLA,,0,,,
31,Yes,02/01/10 00:00:00,0,Cow,1200,B5,3X Yellow,,Murray Grey -EMMA,,0,,,
32,Yes,01/11/10 00:00:00,0,Cow,1200,P18,W074,21,"Red Angus ",,0,,,
33,Yes,12/30/09 00:00:00,0,Cow,1200,P15,R14,,Charolais,,0,,,
34,Yes,12/30/09 00:00:00,0,Cow,1200,P20,R16,,Red Angus Cross,,0,,,
35,Yes,12/30/09 00:00:00,0,Cow,1200,P22,R24,,Red Angus Cross,,0,,,
36,Yes,12/30/09 00:00:00,0,Cow,1200,P24,R12,,Red Angus Cross,,0,,,
37,Yes,12/30/09 00:00:00,0,Cow,1200,P71,R11,,"Grey ",,0,,,
38,Yes,12/30/09 00:00:00,0,Cow,1200,P72,R21,,Red Angus Cross,,0,,,
39,No,12/30/09 00:00:00,0,Cow,0,,R20,,Red Angus Cross,,0,,,
40,No,12/30/09 00:00:00,0,Cow,0,,R02,,"Grey ",,0,,,
41,Yes,12/23/09 00:00:00,0,Cow,1200,B6,40W,,Murray Grey-JBELLS,,0,,,
42,Yes,12/14/09 00:00:00,0,Cow,1200,P10,W013,,Brown,,0,,,
43,Yes,12/14/09 00:00:00,0,Cow,1200,P12,W033,,Charolais,,0,,,
44,Yes,12/14/09 00:00:00,0,Cow,1200,P16,W012,,Red,,0,,,
45,Yes,12/14/09 00:00:00,0,Cow,1200,P17,W018,,Black,,0,,,
46,Yes,12/14/09 00:00:00,0,Cow,1200,P21,W124,,Red,,0,,,
47,Yes,12/14/09 00:00:00,0,Cow,1200,P31,W019,,Black,,0,,,
48,Yes,12/14/09 00:00:00,0,Cow,1200,P34,W021,,Black,,0,,,
49,Yes,12/14/09 00:00:00,0,Cow,1200,P35,W016,,Black with a little white,,0,,,
50,Yes,12/14/09 00:00:00,0,Cow,1200,P39,W046,,Red,,0,,,
51,Yes,12/14/09 00:00:00,0,Cow,1200,P59,W001,,Black,,0,,,
52,Yes,12/14/09 00:00:00,0,Cow,1200,P6,W007,,Red,,0,,,
53,Yes,12/14/09 00:00:00,0,Cow,1200,P67,W034,,Red,,0,,,
54,Yes,12/14/09 00:00:00,0,Cow,1200,P7,W031,,Red with white spot on back,,0,,,
55,Yes,12/14/09 00:00:00,0,Cow,1200,P74,W008,,Black,,0,,,
56,Yes,12/14/09 00:00:00,0,Cow,1200,P75,W009,,Black,,0,,,
57,Yes,12/14/09 00:00:00,0,Cow,1200,P76,W038,,Charolais,,0,,,
58,Yes,12/14/09 00:00:00,0,Cow,1200,P77,W025,,Hereford,,0,,,
59,Yes,12/14/09 00:00:00,0,Cow,1200,P79,W015,,Black with a little white,,0,,,
60,Yes,12/14/09 00:00:00,0,Cow,1200,P8,W010,,Charolais,,0,,,
61,Yes,12/14/09 00:00:00,0,Cow,1200,P80,W003,,Black with a little white,,0,,,
62,Yes,12/14/09 00:00:00,0,Cow,1200,P82,W011,,Red with white,,0,,,
63,Yes,12/14/09 00:00:00,0,Cow,1200,P84,W023,,Hereford,,0,,,
64,Yes,12/14/09 00:00:00,0,Cow,1200,P85,W048,,Black,,0,,,
65,Yes,12/14/09 00:00:00,0,Cow,1200,P86,W022,,Black,,0,,,
66,Yes,12/14/09 00:00:00,0,Cow,1200,P87,W049,,Red,,0,,,
67,Yes,12/14/09 00:00:00,0,Cow,1200,P88,W024,,Black,,0,,,
68,Yes,12/14/09 00:00:00,0,Cow,1200,P9,W020,,Black,,0,,,
69,Yes,12/14/09 00:00:00,0,Cow,1200,P2,W122,W015,Black,,0,,,
70,Yes,12/14/09 00:00:00,0,Cow,1200,P60,W106,W019,Black,,0,,,
71,Yes,12/14/09 00:00:00,0,Cow,1200,P69,W108,,Black,,0,,,
72,No,12/14/09 00:00:00,0,Cow,0,P37,W107,,Black,,0,,,
73,No,12/14/09 00:00:00,0,Cow,0,,W102,,Black,,0,,,
74,No,12/14/09 00:00:00,0,Cow,0,,W043,,Red,,0,,,
75,No,12/14/09 00:00:00,0,Cow,0,,W047,,Black,,0,,,
76,Yes,11/21/09 00:00:00,0,Cow,1200,P14,G427,,Red Angus,,0,,,
77,Yes,11/21/09 00:00:00,0,Cow,1200,P33,G446,,Red Angus,,0,,,
78,Yes,11/21/09 00:00:00,0,Cow,1200,P36,G417,,Red Angus,,0,,,
79,Yes,11/21/09 00:00:00,0,Cow,1200,P48,G431,,Red Angus,,0,,,
80,Yes,11/21/09 00:00:00,0,Cow,1200,P52,G411,,Red Angus,,0,,,
81,Yes,11/21/09 00:00:00,0,Cow,1200,P63,G425,,Red Angus,,0,,,
82,Yes,11/21/09 00:00:00,0,Cow,1200,P70,G429,,Red Angus,,0,,,
83,Yes,11/21/09 00:00:00,0,Cow,1200,P81,G437,,Red Angus,,0,,,
84,Yes,07/02/09 00:00:00,0,Cow,1200,B2,43W,,Murray Grey-COURTNEY,,0,,,
85,Yes,06/29/09 00:00:00,0,Cow,1200,B13,45W Yellow,,Murray Grey-MARIE,,0,,,
86,Yes,04/01/09 00:00:00,0,Cow,1200,B15,2W (Blank),,Murray Grey-CARMEN,,0,,,
87,Yes,06/06/11 00:00:00,0,Steer,0,,P21,,,,0,,,
88,Yes,06/06/11 00:00:00,0,Steer,0,,P22,W31,Dun,,0,,,
89,No,06/06/11 00:00:00,0,Steer,0,,B23,W15,Charcoal with white spot on head,,0,,,
90,Yes,10/15/10 00:00:00,0,Steer,1200,P47,W069,W021,DUN,,0,,,
91,Yes,06/28/10 00:00:00,0,Steer,1200,P27,W051,W018,Black,,0,,,
92,No,03/01/10 00:00:00,0,Cow,0,P55,W130,,BLACK GENTLE,,0,,,
93,Yes,08/17/13 00:00:00,0,Bull,0,B28B,,B7,MG,,0,,,
94,Yes,08/13/13 00:00:00,0,Bull,0,W66B,,P89,DIAMONDS BABY BULL?,,0,,,
95,Yes,08/09/13 00:00:00,0,Bull,0,B27B,,B13,,,0,,,
96,Yes,07/03/13 00:00:00,0,Bull,0,B26B,,B15,,,0,,,
97,Yes,06/23/13 00:00:00,0,Bull,0,B24B,,B14,MG,,0,,,
98,Yes,06/06/13 00:00:00,0,Bull,0,B23B,,B12,MG,,0,,,
99,Yes,06/01/13 00:00:00,0,Bull,0,B21B,,B9,MG,,0,,,
100,Yes,00/00/00 00:00:00,0,Bull,0,,B8,,MG YEARLING,,0,,,
101,Yes,00/00/00 00:00:00,0,Bull,0,,B11,,MG YEARLING,,0,,,
102,Yes,06/07/12 00:00:00,0,Bull,0,,O21,Y43,MG,,0,,,
103,No,05/13/10 00:00:00,0,Cow,0,,Y198,,Red Angus from Moll,,0,,,
104,No,04/17/10 00:00:00,0,Cow,0,,W126,,"Red ",,0,,,
105,No,12/30/09 00:00:00,0,Cow,0,,R04,,Charolais,,0,,,
106,No,12/30/09 00:00:00,0,Cow,0,,R05,,Charolais,,0,,,
107,No,12/30/09 00:00:00,0,Cow,0,,R15,,Red Angus Cross,,0,,,
108,No,12/14/09 00:00:00,0,Cow,0,,W014,,Black,,0,,,
109,No,12/14/09 00:00:00,0,Cow,0,,W029,,Red,,0,,,
110,No,12/14/09 00:00:00,0,Cow,0,,W032,,Red,,0,,,
111,No,12/14/09 00:00:00,0,Cow,0,,W039,,Red with white,,0,,,
112,No,12/14/09 00:00:00,0,Cow,0,,W042,,Hereford,,0,,,
113,No,11/21/09 00:00:00,0,Cow,0,,G408,,Red Angus,,0,,,
114,Yes,09/07/13 00:00:00,0,Heifer,0,W72H,,P51,,,0,,,
115,No,08/21/13 00:00:00,0,Heifer,0,W70H,,P38,,,0,,,
116,Yes,08/20/13 00:00:00,0,Heifer,0,W68H,,,DAM-BLACK COW W/NO TAG,,0,,,
117,Yes,08/15/13 00:00:00,0,Heifer,0,W67H,,P61,,,0,,,
118,Yes,08/10/13 00:00:00,0,Heifer,0,B29H,,B2,MG,,0,,,
119,Yes,08/07/13 00:00:00,0,Heifer,0,W61H,,P86,,,0,,,
120,Yes,08/07/13 00:00:00,0,Heifer,0,W62H,,P14,,,0,,,
121,Yes,08/03/13 00:00:00,0,Heifer,0,W60H,,P49,,,0,,,
122,Yes,08/01/13 00:00:00,0,Heifer,0,W59H,,P41,,,0,,,
123,Yes,07/21/13 00:00:00,0,Heifer,0,W52H,,P5,,,0,,,
124,Yes,07/21/13 00:00:00,0,Heifer,0,W53H,,P54,,,0,,,
125,Yes,07/15/13 00:00:00,0,Heifer,0,W50H,,P34,,,0,,,
126,Yes,07/15/13 00:00:00,0,Heifer,0,W51H,,P17,,,0,,,
127,Yes,07/09/13 00:00:00,0,Heifer,0,W47H,,P48,,,0,,,
128,Yes,07/09/13 00:00:00,0,Heifer,0,W48H,,P68,,,0,,,
129,Yes,07/06/13 00:00:00,0,Heifer,0,W45H,,P29,,,0,,,
130,Yes,07/06/13 00:00:00,0,Heifer,0,W46H,,P47,,,0,,,
131,Yes,07/01/13 00:00:00,0,Heifer,0,VIM,,P22,,,0,,,
132,Yes,06/30/13 00:00:00,0,Heifer,0,W41H,,P8,,,0,,,
133,Yes,06/30/13 00:00:00,0,Heifer,0,W42H,,P7,,,0,,,
134,Yes,06/28/13 00:00:00,0,Heifer,0,W40H,,P24,,,0,,,
135,Yes,06/27/13 00:00:00,0,Heifer,0,B25H,,B6,MG,,0,,,
136,No,06/24/13 00:00:00,0,Heifer,0,W37H,,P30,,,0,,,
137,Yes,06/20/13 00:00:00,0,Heifer,0,W32H,,P9,,,0,,,
138,Yes,06/19/13 00:00:00,0,Heifer,0,W31H,,P80,,,0,,,
139,Yes,06/18/13 00:00:00,0,Heifer,0,W30H,,P85,,,0,,,
140,Yes,06/15/13 00:00:00,0,Heifer,0,W29H,,P28,,,0,,,
141,Yes,06/13/13 00:00:00,0,Heifer,0,W27H,,P73,,,0,,,
142,Yes,06/08/13 00:00:00,0,Heifer,0,W21H,,P31,,,0,,,
143,Yes,06/07/13 00:00:00,0,Heifer,0,W18H,,P15,,,0,,,
144,Yes,06/06/13 00:00:00,0,Heifer,0,W17H,,P37,,,0,,,
145,No,06/06/13 00:00:00,0,Heifer,0,W14H,,P39,,,0,,,
146,Yes,06/03/13 00:00:00,0,Heifer,0,W10H,,P59,,,0,,,
147,Yes,06/01/13 00:00:00,0,Heifer,0,W6H,,P75,,,0,,,
148,Yes,06/01/13 00:00:00,0,Heifer,0,W7H,,P1,,,0,,,
149,Yes,06/01/13 00:00:00,0,Heifer,0,B19H,,B3,MG,,0,,,
150,Yes,06/01/13 00:00:00,0,Heifer,0,W8H,,P23,,,0,,,
151,Yes,06/01/13 00:00:00,0,Heifer,0,W9H,,P45,,,0,,,
152,Yes,05/28/13 00:00:00,0,Heifer,0,W2H,,P70,,,0,,,
153,Yes,05/26/13 00:00:00,0,Heifer,0,B18H,,B10,MG,,0,,,
154,Yes,05/25/13 00:00:00,0,Heifer,0,B17H,,B5,MG,,0,,,
155,Yes,00/00/00 00:00:00,0,Heifer,0,,O50,,,,0,,,
156,Yes,00/00/00 00:00:00,0,Heifer,0,,O56,,,,0,,,
157,Yes,00/00/00 00:00:00,0,Heifer,0,,O62,,,,0,,,
158,No,00/00/00 00:00:00,0,Heifer,0,,O51,,,,0,,,
159,No,00/00/00 00:00:00,0,Heifer,0,,O52,,,,0,,,
160,Yes,07/19/12 00:00:00,0,Heifer,0,,O45,W34,,,0,,,
161,No,07/19/12 00:00:00,0,Heifer,0,,O46,W22,,,0,,,
162,No,07/17/12 00:00:00,0,Heifer,0,,O44,Y6,,,0,,,
163,Yes,07/15/12 00:00:00,0,Heifer,0,,O43,Y18,,,0,,,
164,Yes,07/10/12 00:00:00,0,Heifer,0,,O41,W127,,,0,,,
165,Yes,07/10/12 00:00:00,0,Heifer,0,,O42,G417,,,0,,,
166,Yes,07/07/12 00:00:00,0,Heifer,0,,O40,Y207,,,0,,,
167,No,07/05/12 00:00:00,0,Heifer,0,,O38,Y21,,,0,,,
168,Yes,07/02/12 00:00:00,0,Heifer,0,,O37,G429,,,0,,,
169,No,07/02/12 00:00:00,0,Heifer,0,,O34,Y4,,,0,,,
170,No,07/02/12 00:00:00,0,Heifer,0,,O36,Y16,,,0,,,
171,No,06/27/12 00:00:00,0,Heifer,0,,O31,G411,,,0,,,
172,Yes,06/18/12 00:00:00,0,Heifer,0,,O28,W131,,,0,,,
173,No,06/14/12 00:00:00,0,Heifer,0,,O25,G437,,,0,,,
174,No,06/13/12 00:00:00,0,Heifer,0,,O24,G446,,,0,,,
175,No,06/12/12 00:00:00,0,Heifer,0,,O23,Y14,,,0,,,
176,Yes,06/08/12 00:00:00,0,Heifer,0,,O22,Y110,,,0,,,
177,Yes,05/28/12 00:00:00,0,Heifer,0,,O16,W23,,,0,,,
178,No,05/27/12 00:00:00,0,Heifer,0,,O15,W38,,,0,,,
179,Yes,05/24/12 00:00:00,0,Heifer,0,,O12,W11,,,0,,,
180,Yes,05/21/12 00:00:00,0,Heifer,0,,O09,W136,,,0,,,
181,No,05/19/12 00:00:00,0,Heifer,0,,O07,R24,,,0,,,
182,No,05/19/12 00:00:00,0,Heifer,0,,O06,W3,,,0,,,
183,Yes,05/17/12 00:00:00,0,Heifer,0,,O05,R11,,,0,,,
184,Yes,05/15/12 00:00:00,0,Heifer,0,,O03,W122,,,0,,,
185,No,05/15/12 00:00:00,0,Heifer,0,,O04,W108,,,0,,,
186,Yes,05/12/12 00:00:00,0,Heifer,0,,O02,W130,,,0,,,
187,No,05/08/12 00:00:00,0,Heifer,0,,O01,W107,,,0,,,
188,Yes,04/17/12 00:00:00,0,Heifer,0,,W02,W148,,,0,,,
189,No,06/14/11 00:00:00,0,Heifer,0,,W170,?,,,0,,,
190,No,06/06/11 00:00:00,0,Heifer,0,,B13,,,,0,,,
191,No,06/06/11 00:00:00,0,Heifer,0,,B12,,,,0,,,
192,No,06/06/11 00:00:00,0,Heifer,0,,B14,,,,0,,,
193,No,06/06/11 00:00:00,0,Heifer,0,,W167,W102,,,0,,,
194,No,06/06/11 00:00:00,0,Heifer,0,,Y61,G425,Dun,,0,,,
195,No,06/06/11 00:00:00,0,Heifer,0,,Y63,,Dun,,0,,,
196,No,06/06/11 00:00:00,0,Heifer,0,,Y65,,Tan with white racing stripe,,0,,,
197,No,06/06/11 00:00:00,0,Heifer,0,,Y67,,Dun,,0,,,
198,No,06/06/11 00:00:00,0,Heifer,0,,Y70,Y24,,,0,,,
199,No,06/06/11 00:00:00,0,Heifer,0,,Y71,,White,,0,,,
200,No,06/06/11 00:00:00,0,Heifer,0,,Y73,,,,0,,,
201,No,05/29/11 00:00:00,0,Heifer,0,,W165,R02,,,0,,,
202,No,05/27/11 00:00:00,0,Heifer,0,,W164,,,,0,,,
203,No,05/08/11 00:00:00,0,Heifer,0,,W153,W032,,,0,,,
204,No,05/05/11 00:00:00,0,Heifer,0,,W151,W001,,,0,,,
205,No,05/03/11 00:00:00,0,Heifer,0,,W154,W012,Red,,0,,,
206,No,04/27/11 00:00:00,0,Heifer,0,,W072,Y198,Red,,0,,,
207,No,10/16/10 00:00:00,0,Heifer,0,,W071,W007,,,0,,,
208,No,08/17/10 00:00:00,0,Heifer,0,,W065,W015,Black,,0,,,
209,No,07/24/10 00:00:00,0,Heifer,0,,W159,W023,Red,,0,,,
